,Airport,City,State,IATA,Latitude,Longitude,Acre
171,Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,MSY,29.9933,-90.2581,1500.0
172,Shreveport Regional Airport,Shreveport,Louisiana,SHV,32.5147,-93.7472,1625.0
173,Bangor International Airport,Bangor,Maine,BGR,44.8072,-68.8281,2079.0
174,Portland International Jetport,Portland,Maine,PWM,43.6461,-70.3092,726.0
175,Northern Maine Regional Airport at Presque Isle,Presque Isle,Maine,PQI,46.6889,-68.0447,2384.0
176,Knox County Regional Airport,Rockland,Maine,RKD,44.06,-69.0992,538.0
177,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,BWI,39.1753,-76.6683,3160.0
178,Hagerstown Regional Airport,Hagerstown,Maryland,HGR,39.7086,-77.7264,2384.0
179,Salisbury-Ocean City Wicomico Regional Airport,Salisbury,Maryland,SBY,38.34,-75.5094,2384.0
180,Gen. Edward Lawrence Logan International Airport,Boston,Massachusetts,BOS,42.3631,-71.0064,2384.0
181,Barnstable Municipal Airport,Hyannis,Massachusetts,HYA,41.7,-70.3,639.0
182,Nantucket Memorial Airport,Nantucket,Massachusetts,ACK,41.2529,-70.059,1200.0
183,Provincetown Municipal Airport,Provincetown,Massachusetts,PVC,43.6072,-110.7378,310.0
184,Martha's Vineyard Airport,Vineyard Haven,Massachusetts,MVY,41.3931,-70.6144,688.0
185,Worcester Regional Airport,Worcester,Massachusetts,ORH,42.267222,-71.875833,1000.0
186,Alpena County Regional Airport,Alpena,Michigan,APN,45.0781,-83.5603,3084.0
187,Houghton County Memorial Airport,Calumet,Michigan,CMX,47.1683,-88.4892,1996.0
188,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,DTW,42.2125,-83.3533,2384.0
189,Delta County Airport,Escanaba,Michigan,ESC,45.7228,-87.0936,944.0
190,Bishop International Airport,Flint,Michigan,FNT,42.9656,-83.7436,2384.0
191,Gerald R. Ford International Airport,Grand Rapids,Michigan,GRR,42.8808,-85.5228,3127.0
192,Ford Airport,Iron Mountain,Michigan,IMT,42.8808,-85.5228,3127.0
193,Kalamazoo/Battle Creek International Airport,Kalamazoo,Michigan,AZO,42.235,-85.5519,2384.0
194,Capital Region International Airport,Lansing,Michigan,LAN,42.7786,-84.5862,2384.0
195,Sawyer International Airport,Marquette,Michigan,MQT,46.3536,-87.3953,2100.0
196,Muskegon County Airport,Muskegon,Michigan,MKG,43.1678,-86.2356,1200.0
197,Pellston Regional Airport of Emmet County,Pellston,Michigan,PLN,45.5708,-84.7967,1675.0
198,MBS International Airport,Saginaw,Michigan,MBS,43.5328,-84.0797,3200.0
